year,ncessch,school_code,district_code,school_name,district_name,enrollment_total_cde,enrollment_total_ccd,teacher_fte_cde,teacher_fte_ccd,enrollment_reported_in_fte_file,latitude,longitude,is_charter,status
1986,080336000305,0010,,ABRAHAM LINCOLN HIGH SCHOOL,DENVER SCH DIST 1,,1831,,93.0,,39.6761,-105.0265,,1
1986,080345000436,0012,,ACRES GREEN ELEM SCHOOL,DOUGLAS CO SCH DIST RE-1(J),,598,,31.0,,39.5574,-104.8949,,1
1986,080195000009,0020,,ADAMS CITY MIDDLE SCHOOL,ADAMS COUNTY SCH DIST 14,,600,,34.0,,39.8282,-104.9354,,1
1986,080195001307,0022,,ADAMS CITY ALTERNATIVE,ADAMS COUNTY SCH DIST 14,,75,,4.0,,39.829641,-104.905213,,1
1986,080195000010,0024,,ADAMS CITY HIGH SCHOOL,ADAMS COUNTY SCH DIST 14,,1310,,76.0,,39.8281,-104.9004,,1
1986,080306000221,0028,,ADAMS ELEM SCHOOL,COLORADO SPRINGS SCH DIST 11,,423,,23.0,,38.820736,-104.788102,,1
1986,080198000020,0044,,AGATE ELEM SCHOOL,AGATE SCH DIST 300,,28,,4.0,,39.462633,-103.941268,,1
1986,080198000021,0048,,AGATE UND. HIGH SCHOOL,AGATE SCH DIST 300,,15,,5.0,,39.462633,-103.941268,,1
1986,080201000022,0058,,AGUILAR ELEM SCHOOL,AGUILAR REORGANIZED S D 6,,101,,5.0,,37.406,-104.6539,,1
1986,080201000023,0066,,AGUILAR JR-SR HIGH SCHOOL,AGUILAR REORGANIZED S D 6,,85,,8.0,,37.406,-104.6539,,1
1986,080192000001,0074,,CHALLENGER MIDDLE SCHOOL,ACADEMY SCH DIST 20,,1200,,68.0,,38.978798,-104.774702,,1
1986,080192000002,0076,,ACADEMY HIGH SCHOOL,ACADEMY SCH DIST 20,,1241,,68.0,,38.967994,-104.84588,,1
1986,080204000024,0086,,AKRON ELEM SCHOOL,AKRON SCH DIST R-1,,338,,16.0,,40.164333,-103.204935,,1
1986,080204000025,0090,,AKRON HIGH SCHOOL,AKRON SCH DIST R-1,,142,,11.0,,40.164333,-103.204935,,1
1986,080480000690,0104,,ALAMEDA JR HIGH SCHOOL,JEFFERSON COUNTY SCH DIST R-1,,518,,24.0,,,,,1
1986,080480000691,0108,,ALAMEDA  HIGH SCHOOL,JEFFERSON COUNTY SCH DIST R-1,,1330,,62.0,,39.6938,-105.0843,,1
1986,080207000026,0114,,ORTEGA MIDDLE SCHOOL,ALAMOSA SCH DIST RE-11J,,554,,30.0,,37.4762,-105.8872,,1
1986,080207000027,0118,,ALAMOSA HIGH SCHOOL,ALAMOSA SCH DIST RE-11J,,591,,40.0,,37.4839,-105.8949,,1
1986,080654001131,0138,,ALICE TERRY ELEM SCHOOL,SHERIDAN SCH DIST 2,,325,,18.0,,39.636483,-105.031029,,1
1986,080480000692,0148,,ALLENDALE ELEM SCHOOL,JEFFERSON COUNTY SCH DIST R-1,,480,,20.0,,39.8048,-105.1182,,1
1986,080195000011,0186,,ALSUP ELEM SCHOOL,ADAMS COUNTY SCH DIST 14,,535,,25.0,,39.820976,-104.936263,,1
1986,080522000860,0200,,ALTA VISTA ELEM SCHOOL,LAMAR SCH DIST RE-2,,40,,2.0,,38.1291,-102.6006,,1
1986,080669001386,0202,,ALTERNATIVE SCHOOL,VALLEY SCH DIST RE-1,,32,,3.0,,40.62378,-103.231107,,1
1986,080555000951,0204,,ALTERNATIVE SCHOOL,MAPLETON SCH DIST 1,,132,,6.0,,39.838093,-104.96756,,1
1986,080378001310,0206,,ALTERNATIVE HIGH SCHOOL,ENGLEWOOD SCH DIST 1,,226,,7.0,,39.627114,-104.991295,,1
1986,089942001425,0208,,ALTERNATIVE HIGH SCHOOL,SOUTHWEST BOCS,,52,,2.0,,,,,3
1986,080690001172,0210,,EAST LAKE CAMPUS,NORTHGLENN-THORNTON S D 12,,150,,9.0,,39.894,-104.9958,,1
1986,080234000052,0214,,ALTURA BLVD. ELEM SCHOOL,ADAMS-ARAPAHOE (AURORA) SD 28J,,353,,12.0,,39.7432,-104.8136,,1
1986,080336000306,0220,,AMESSE ELEM SCHOOL,DENVER SCH DIST 1,,528,,25.0,,39.7933,-104.8419,,1
1986,080213000033,0248,,GUADALUPE ELEM SCHOOL,SOUTH CONEJOS SCH DIST RE-10,,349,,25.0,,37.080075,-106.016932,,1
1986,080213000035,0252,,ANTONITO HIGH SCHOOL,SOUTH CONEJOS SCH DIST RE-10,,158,,13.0,,37.080075,-106.016932,,1
1986,080435000597,0262,,APPLETON ELEM SCHOOL,MESA VALLEY SCH DIST 51,,152,,7.0,,39.1218,-108.6155,,1
1986,089938001423,0280,,ARAPAHOE-DOUGLAS AVS,SOUTHEAST METRO BOCS,,,,9.0,,,,,4
1986,080531000873,0298,,ARAPAHOE HIGH SCHOOL,LITTLETON SCH DIST 6,,2108,,99.0,,39.5817,-104.9628,,1
1986,080222000041,0304,,ARICKAREE ELEM SCHOOL,ARICKAREE SCH DIST R-2,,91,,7.0,,39.7453,-103.0298,,1
1986,080222000042,0308,,ARICKAREE UND. HIGH SCHOOL,ARICKAREE SCH DIST R-2,,69,,7.0,,39.7453,-103.0298,,1
1986,080234001296,0310,,ARKANSAS ELEM SCHOOL,ADAMS-ARAPAHOE (AURORA) SD 28J,,719,,30.0,,39.6923,-104.7853,,1
1986,080291000183,0348,,ARROWHEAD ELEM SCHOOL,CHERRY CREEK SCH DIST 5,,585,,29.0,,39.6642,-104.766,,1
1986,080480000693,0366,,ARVADA JR. HIGH SCHOOL,JEFFERSON COUNTY SCH DIST R-1,,778,,36.0,,39.801874,-105.088711,,1
1986,080480000694,0370,,ARVADA HIGH SCHOOL,JEFFERSON COUNTY SCH DIST R-1,,1929,,91.0,,39.8158,-105.0848,,1
1986,080480000695,0378,,ARVADA WEST HIGH SCHOOL,JEFFERSON COUNTY SCH DIST R-1,,1883,,80.0,,39.8104,-105.1274,,1
1986,080336000307,0388,,ASBURY ELEM SCHOOL,DENVER SCH DIST 1,,345,,21.0,,39.6801,-104.9717,,1
1986,080336000420,0408,,VALDEZ ELEM SCHOOL,DENVER SCH DIST 1,,819,,35.0,,39.7589,-105.0184,,1
1986,080336000309,0418,,ASHLEY ELEM SCHOOL,DENVER SCH DIST 1,,360,,17.0,,39.7462,-104.8983,,1
1986,080228000045,0428,,ASPEN ELEM SCHOOL,ASPEN SCH DIST 1,,353,,21.0,,39.191594,-106.847946,,1
1986,080228000046,0430,,ASPEN MIDDLE SCHOOL,ASPEN SCH DIST 1,,267,,23.0,,39.191433,-106.847964,,1
1986,080228000047,0432,,ASPEN HIGH SCHOOL,ASPEN SCH DIST 1,,326,,19.0,,39.189836,-106.84895,,1
1986,080306000222,0452,,AUDUBON ELEM SCHOOL,COLORADO SPRINGS SCH DIST 11,,521,,26.0,,38.8673,-104.7841,,1
1986,080234000054,0464,,AURORA HILLS MIDDLE SCHOOL,ADAMS-ARAPAHOE (AURORA) SD 28J,,1058,,54.0,,39.6987,-104.8397,,1
1986,080249000097,0466,,AURORA 7 ELEM SCHOOL,BOULDER VALLEY SCH DIST RE-2J,,386,,23.0,,,,,1
1986,080234000053,0470,,AURORA VOC TECH CENTER,ADAMS-ARAPAHOE (AURORA) SD 28J,,,,61.0,,39.724404,-104.791067,,1
1986,080615001069,0472,,AVONDALE ELEM SCHOOL,PUEBLO CO RURAL SCH DIST 70,,129,,7.0,,38.2377,-104.3476,,1
1986,080405000555,0492,,BAKER ELEM SCHOOL,FORT MORGAN SCH DIST RE-3,,288,,9.0,,,,,1
1986,080723001228,0496,,BAKER ELEM SCHOOL,WESTMINISTER SCH DIST 50,,290,,19.0,,39.8129,-105.034,,1
1986,080336000310,0500,,BAKER MIDDLE SCHOOL,DENVER SCH DIST 1,,274,,28.0,,39.72556,-104.99481,,1
1986,080540000925,0510,,BALL JR. HIGH SCHOOL,THOMPSON SCH DIST R-2J,,772,,36.0,,40.4193,-105.0672,,1
1986,080336000311,0520,,BARNUM ELEM SCHOOL,DENVER SCH DIST 1,,438,,20.0,,39.7177,-105.0295,,1
1986,080336000312,0540,,BARRETT ELEM SCHOOL,DENVER SCH DIST 1,,252,,16.0,,39.758752,-104.942697,,1
1986,080399000518,0550,,BARTON ELEM SCHOOL,POUDRE SCH DIST R-1,,368,,16.0,,,,,1
1986,080426000582,0560,,BASALT ELEM SCHOOL,ROARING FORK SCH DIST RE-1(J),,435,,23.0,,39.3665,-107.0322,,1
